gene_id,a.value,m.value,p.value,q.value,estimatedDEG,expression
GM5424,13.633527455022284,2.460677746305226,9.914906876039062e-14,3.747041606592682e-9,1,cko-low
D630023F18RIK,5.702615751964807,5.425719081079972,4.0719152247807876e-13,6.668314478699566e-9,1,cko-low
FAM151A,7.759730141826856,3.323483470868494,5.293433381694194e-13,6.668314478699566e-9,1,cko-low
CHRNA4,8.982533460820454,3.2582416358851125,1.5584636877887496e-12,1.4724364922228105e-8,1,cko-low
C030005K06RIK,8.04934748617965,2.5180437878066053,1.9897087389438253e-12,1.5039014532433007e-8,1,cko-low
ASS1,10.404181918138441,2.5460124828498376,2.6974737385363757e-12,1.6990487921127785e-8,1,cko-low
LGMN,12.348701462122747,1.7293113951793053,4.705059827858263e-12,2.4061989086683264e-8,1,cko-low
ASPA,9.57526416146314,1.8306832957420944,5.093562465428295e-12,2.4061989086683264e-8,1,cko-low
PPP1R16B,10.869808511337641,1.6641377466927327,8.901277232888855e-12,3.625310254720457e-8,1,cko-low
GPX3,16.841966864981572,2.140773339916345,9.592798091449136e-12,3.625310254720457e-8,1,cko-low
ADRA1A,8.460525912363524,1.8332585909682138,1.8547826786531453e-11,6.372358817423606e-8,1,cko-low
CLEC2H,6.383230773392605,5.811010778514783,2.2326758568008446e-11,7.03144049835146e-8,1,cko-low
ADAP2,9.122466323673402,1.6898057616424786,3.263578341408996e-11,9.487473282963751e-8,1,cko-low
SLC22A5,11.213514877078389,1.4762110975029419,3.8551645512367774e-11,1.0406741337167164e-7,1,cko-low
SECTM1B,6.194382983214289,5.649535533682924,6.228337848959721e-11,1.5692089599192386e-7,1,cko-low
FAM163A,5.951182558642953,4.198945687539517,1.0016300175367908e-10,2.3658501014218997e-7,1,cko-low
CELA1,7.921411809610242,3.3006959599036367,1.0860282241574296e-10,2.4143046263151515e-7,1,cko-low
4921539H07RIK,5.54058118206761,3.8054122694606938,1.3905650996256377e-10,2.9195686802806723e-7,1,cko-low
ALDH7A1,11.531898503026161,1.4154063570870754,1.9329759582277384e-10,3.8100360692352864e-7,1,cko-low
SLC26A1,10.316673594972137,1.931907431549325,2.016318834269309e-10,3.8100360692352864e-7,1,cko-low
DNAH5,4.690662230719482,3.504568772281063,3.186791387979399e-10,5.735010482596069e-7,1,cko-low
DPEP1,10.501905175156526,1.6069933156759895,3.4683429929830957e-10,5.957982654128052e-7,1,cko-low
MAF,10.67944812726249,4.058469954893942,4.1344467649982823e-10,6.727976911427019e-7,1,cko-low
SLC5A2,10.748336059499628,3.718127020331261,4.272635633844423e-10,6.727976911427019e-7,1,cko-low
CAR14,8.541490538676388,3.4938340377027703,4.826084855528754e-10,7.295495954405708e-7,1,cko-low
IDH1,11.758786773172059,1.598695438523583,6.525641109941519e-10,9.485270339496532e-7,1,cko-low
RCAN1,9.572039707337572,1.585958766935189,1.0149765643689644e-9,1.4206664563197002e-6,1,cko-low
FRMD4B,10.349825680162816,1.388439907947875,1.2075301397588095e-9,1.6298206800630333e-6,1,cko-low
TTR,7.128860758437909,5.040528962800974,1.3732828690159307e-9,1.7896243512362088e-6,1,cko-low
GABRB3,7.35506755052265,2.40735335052556,1.7222871093678653e-9,2.1635545184524493e-6,1,cko-low
SLC5A12,12.055850123454778,1.7206665676318984,1.791749057966984e-9,2.1635545184524493e-6,1,cko-low
DCXR,10.23315333918184,1.3183033494248786,1.8319682628725225e-9,2.1635545184524493e-6,1,cko-low
SLC34A3,7.885631845752181,4.433487578933988,1.8892474439856317e-9,2.1635890728213633e-6,1,cko-low
GM42047,8.331116243886116,-1.7472862171838495,2.169186983806777e-9,2.4111151321184033e-6,1,cko-high
GATM,11.509219841685695,3.790744567608895,2.2740605939618873e-9,2.4554656562002182e-6,1,cko-low
SLC7A7,10.871936666083158,1.2091659110964201,2.947988874584554e-9,3.094733209674985e-6,1,cko-low
GM906,4.198214193056204,4.86773540918062,3.3217293481188917e-9,3.3928323114624096e-6,1,cko-low
GM5454,6.198089844376733,2.9212143119454703,3.464692745046636e-9,3.445728111073749e-6,1,cko-low
ETV1,6.969849394646451,2.669918367716643,3.6193161716077657e-9,3.507210173266684e-6,1,cko-low
CRYL1,11.11312099774296,1.0104301328479206,3.731573553963352e-9,3.5255906937845746e-6,1,cko-low
CMBL,9.829361223915924,1.3493184245402734,4.070481331429565e-9,3.75199098725332e-6,1,cko-low
ALDH9A1,11.8415490559121,1.1744090170339287,4.671649924760755e-9,4.2035950942037725e-6,1,cko-low
AKR1A1,13.528957412858944,1.2858874500532291,5.18119310014129e-9,4.5536662707102235e-6,1,cko-low
ETV5,7.047161755745758,2.1047027790580337,5.487062973006328e-9,4.712888269905798e-6,1,cko-low
SLC34A1,15.66042697615434,1.239736861270762,6.208475357705386e-9,5.214015571520043e-6,1,cko-low
TNFAIP8,11.216339469301023,1.6414169727727383,7.058065889817816e-9,5.798661437130324e-6,1,cko-low
UNC5C,8.189619315459602,1.3300346443486575,7.290299646692883e-9,5.804652873530795e-6,1,cko-low
GM4798,5.6147304508141245,2.4643593669327313,7.372548103553084e-9,5.804652873530795e-6,1,cko-low
DNASE1,12.506383816260715,-1.194186496013801,9.061855484792493e-9,6.989094744515876e-6,1,cko-high
SLC4A4,14.298552537702543,0.9981819456605123,9.861596943202699e-9,7.453789433550328e-6,1,cko-low
CIT,8.019619283264504,2.013031022660231,1.0255093861710074e-8,7.599225631798963e-6,1,cko-low
HMCN2,7.328355215508692,1.837782068217634,1.0974715025667159e-8,7.844408689910876e-6,1,cko-low
PDP2,10.333139574953769,1.1801742757800202,1.1001102364661208e-8,7.844408689910876e-6,1,cko-low
CPNE4,7.031299042935301,1.9726829147161933,1.2301383397672549e-8,8.400400550126256e-6,1,cko-low
SLC3A2,11.286093351590779,1.2653695184690275,1.2333738214155703e-8,8.400400550126256e-6,1,cko-low
SALL2,9.142981175043904,1.2825488015090745,1.2614599273246615e-8,8.400400550126256e-6,1,cko-low
SLC30A2,8.487289891484954,1.845802965430571,1.266995214217815e-8,8.400400550126256e-6,1,cko-low
GRIA3,8.851994722625426,-1.2228496569115173,1.3039704821617248e-8,8.49649180376826e-6,1,cko-high
GJB2,10.15152201472769,1.3262260771679877,1.3834612086078064e-8,8.86165525350953e-6,1,cko-low
IGFBP4,13.306089318511464,1.030678840929438,1.913026295010814e-8,1.2049514956841447e-5,1,cko-low
FAHD2A,8.998706857912195,1.0850861700121932,2.2193578867898404e-8,1.3749831681567483e-5,1,cko-low
RNF186,7.78165633696895,1.4837290454953083,2.354694029132195e-8,1.435299947563934e-5,1,cko-low
SUSD2,10.636969720406316,2.7197203649961654,2.9588268844544238e-8,1.7749204066238346e-5,1,cko-low
TCN2,13.981080288536988,1.0340576981311322,3.2006504350651296e-8,1.889984081905959e-5,1,cko-low
EPB41L3,10.117525634657188,1.393340877734671,3.763918458434316e-8,2.1884000981715332e-5,1,cko-low
AASS,11.955668166548048,1.0783179128789318,4.207582435379526e-8,2.409287202997925e-5,1,cko-low
LCTL,4.115666762587811,3.026786989887663,4.590466111209104e-8,2.49596794326652e-5,1,cko-low
CYP2D12,8.396408546803773,1.9349416599969116,4.61031819439955e-8,2.49596794326652e-5,1,cko-low
SLC16A14,8.867635754253872,3.851995333962841,4.622546086910165e-8,2.49596794326652e-5,1,cko-low
ACNAT1,10.505177790561056,-1.3113884706937018,4.623141300504244e-8,2.49596794326652e-5,1,cko-high
GPAT3,6.812110963720375,2.235296765198652,4.934519847989958e-8,2.6265545647216406e-05,1,cko-low
SLC16A12,11.01757426652378,1.007178285173337,5.485943933661363e-8,2.8476050133489638e-5,1,cko-low
GNA12,11.092748823130808,1.0615683785770091,5.5005071436937547e-8,2.8476050133489638e-5,1,cko-low
CES1G,4.877664284969219,4.162829701329208,6.032916907012049e-8,3.081026969591883e-5,1,cko-low
SLC16A10,9.893024504336495,1.0295112547569794,6.483773768613016e-8,3.267130376845641e-5,1,cko-low
TMEM106A,10.195100755706658,0.955751449451606,6.81114073024476e-8,3.386929348386973e-5,1,cko-low
IGSF11,10.757284150798608,1.2742395586727895,6.974767625701331e-8,3.423252183253308e-5,1,cko-low
GM6652,12.525263948747316,1.0001000743330941,9.964595667299328e-8,4.827974352033028e-5,1,cko-low
SLC7A2,7.32196334213841,1.5518281139096333,1.0389176721613473e-7,4.969971729914131e-5,1,cko-low
TRIM63,4.954921147206659,3.527764127349929,1.2815549745220964e-7,6.054065699642383e-5,1,cko-low
PRKAG3,6.312872078985928,2.206554974962084,1.3853228331048195e-7,6.463471667740411e-5,1,cko-low
SCPEP1,10.585662340727765,0.8689421315548689,1.463370904223469e-7,6.744355269806505e-5,1,cko-low
NUAK2,11.083769792142348,1.021242922633407,1.7144600433202604e-7,7.806370356284251e-5,1,cko-low
RAI2,7.203424026901346,-1.349148793233372,1.951430402158545e-7,8.779578304568539e-5,1,cko-high
NUP210,9.954903488715797,-0.8385401336788103,2.0610261231252434e-7,9.163564617076377e-5,1,cko-high
PTER,12.897189615720851,-1.0831227854946306,2.1646991511308225e-7,9.512594223201865e-5,1,cko-high
SIRPA,10.244342471973788,0.8942110993118053,2.2970920571792454e-7,9.97835666953081e-5,1,cko-low
DPYD,10.118090762933257,0.7921314832057949,2.4201072750710176e-7,1.0393260697668625e-4,1,cko-low
PDE6A,5.23758382015621,3.8209699009904092,2.4870601982949107e-7,1.0560784158872053e-4,1,cko-low
ACMSD,9.552417424187915,2.6858548746699977,2.926416045647181e-7,1.2288346133010916e-4,1,cko-low
NOX4,12.196567275692804,1.4925948499772108,3.014894597654216e-7,1.2520757871928366e-4,1,cko-low
KCNJ12,5.0944258075166085,2.678856968673371,3.394907821601267e-7,1.3945690912386423e-4,1,cko-low
SLC10A2,10.446533624493947,-0.9530703729142189,3.6149152330256076e-7,1.4689771665215458e-4,1,cko-high
LPAR3,8.24224389562899,1.2839812463497795,3.6886747997506024e-7,1.483004234384838e-4,1,cko-low
COL27A1,10.502972068826836,1.3217394770214153,3.7492196799648494e-7,1.4914790541603325e-4,1,cko-low
DUSP4,7.618587644336188,1.3692440034065498,4.040525327236823e-7,1.5906201371555627e-4,1,cko-low
SLC18A1,11.608330139081943,-1.0550334109412631,4.501764204958198e-7,1.7539244622039198e-4,1,cko-high
LAMA3,9.80670581159847,1.5057143178600523,4.730152248774903e-7,1.8125746366566125e-4,1,cko-low
BCKDHA,9.929465825922296,0.7592914820591563,4.748224201656558e-7,1.8125746366566125e-4,1,cko-low
GM12962,1.1780057648055635,6.381119861057954,5.020080917387401e-7,1.8971889802990469e-4,1,cko-low
GPT2,9.356921660426625,1.4661562667295005,5.549600093970423e-7,2.076539472785448e-4,1,cko-low
NPL,8.233200769634859,1.474101669311617,5.807120331903253e-7,2.1515950155224286e-4,1,cko-low
PDK2,11.522552464635023,0.786744610278161,6.341480086730366e-7,2.3101877545719815e-4,1,cko-low
GM8765,3.5999275937578155,4.400586448103233,6.40746175899731e-7,2.3101877545719815e-4,1,cko-low
FOLH1,9.989175606386269,1.6605793690727602,6.418546629711528e-7,2.3101877545719815e-4,1,cko-low
SLC2A2,10.968094627138314,1.1344434512872645,6.709680988804396e-7,2.392191169140526e-4,1,cko-low
PIK3C2G,8.335440952800736,1.373129596829581,6.8971308749205e-7,2.4360408413550986e-4,1,cko-low
DNAJC6,9.087297852827582,0.8115615949613773,6.998957820911775e-7,2.449116795999054e-4,1,cko-low
GM20789,-3.1143336433984574,6.239015546687343,7.621766513428538e-7,2.642585321793498e-4,1,cko-low
CTSL,12.409795652921098,0.6871383935650268,8.287084789895053e-7,2.847140985270126e-4,1,cko-low
GPX1,13.423493260333494,0.9902209467376473,8.423497416407588e-7,2.852762550976843e-4,1,cko-low
PPARA,10.675522155011056,0.8318584379049341,8.454419075714606e-7,2.852762550976843e-4,1,cko-low
SGK2,11.045795516286042,0.8559066232470034,9.675827116703344e-7,3.2360075964110865e-4,1,cko-low
AFMID,7.599855072103508,1.3914832146223706,9.903050559027703e-7,3.2829481291822365e-4,1,cko-low
SLC25A48,8.55478536608639,1.227010860623282,1.0412043064307824e-6,3.421668969446272e-4,1,cko-low
CFI,7.924103314867645,-1.8343737923647199,1.1136768292261912e-6,3.6282823043203634e-4,1,cko-high
ACAA2,11.206680367046,1.3400859403136387,1.1429017852448687e-6,3.691670450254194e-4,1,cko-low
SLC7A9,10.514371771551833,0.8489272515810189,1.1614506910453275e-6,3.7197919081343237e-4,1,cko-low
SLC7A8,11.584414649399234,1.3526209903864483,1.1922712202519356e-6,3.78641293745892e-4,1,cko-low
MAFG,10.47209936829223,0.713023042608917,1.2105065934065796e-6,3.8122887648351213e-4,1,cko-low
SLC6A19,11.849551214368452,1.236546898059455,1.2704797958485295e-6,3.9680968962568287e-4,1,cko-low
SPP2,10.299097013672327,2.661766670477732,1.458440478688039e-6,4.5143017200058294e-4,1,cko-low
SEMA4G,10.459328209844092,-0.7210570459810679,1.480176975096218e-6,4.5143017200058294e-4,1,cko-high
SMOC1,5.774413662833588,-2.561358097800703,1.4910134087921672e-6,4.5143017200058294e-4,1,cko-high
NT5C2,11.191101208857795,-0.7606375638688423,1.4931406514625547e-6,4.5143017200058294e-4,1,cko-high
ESR1,9.616285703266257,-2.1191913933096007,1.5318165006747162e-6,4.5944769201189585e-4,1,cko-high
1700018P08RIK,-3.1143336433984574,-6.380135643744305,1.5697820172875123e-6,4.6712757478212333e-4,1,cko-high
ALDH1A7,5.5268760855902945,1.8543765626891933,1.6466082647987054e-6,4.861610901818178e-4,1,cko-low
FCHSD1,6.597548907878902,1.3810292574232168,1.7115809399293182e-6,5.014268750527813e-4,1,cko-low
CDH4,5.552323240452839,1.6381270429467465,1.7492886963298291e-6,5.085316800899762e-4,1,cko-low
CYP27B1,7.150428090317639,3.0200843626914713,2.1523028145983428e-6,6.209147173229051e-4,1,cko-low
CHRNB4,4.212206918831914,-2.568429120932821,2.2422820988251204e-6,6.419721596878709e-4,1,cko-high
SLC13A1,11.846719000596206,0.8360079828887876,2.40358787670674e-6,6.82980398770685e-4,1,cko-low
HDC,9.147388239326315,-3.8349576248667336,2.429069542951154e-6,6.85070120650821e-4,1,cko-high
ZMAT3,9.73250020218049,-0.6510312711292485,2.475450471426618e-6,6.929794386381834e-4,1,cko-high
SAA4,3.465177492601266,-4.920009848168833,2.6090538730179275e-6,7.250100291845111e-4,1,cko-high
KCNE1L,5.018704482002365,-2.849983680064308,2.6471811762081606e-6,7.302355548267066e-4,1,cko-high
SECTM1A,2.8896705573745307,4.121524668013666,2.68730365250647e-6,7.359317364893081e-4,1,cko-low
MBL1,5.2912107645711455,-2.2898989767603526,2.787978669943952e-6,7.580092798167038e-4,1,cko-high
RAB3IL1,9.025116874671635,0.7648988138534367,2.835385144850709e-6,7.633731871130336e-4,1,cko-low
ACSS1,11.832341976227504,1.1882068875941378,2.848105932021003e-6,7.633731871130336e-4,1,cko-low
GM7730,10.075061962990551,1.062201026717748,2.9179376986849305e-6,7.765824049908513e-4,1,cko-low
TCHHL1,4.826503824650122,2.1177100473607453,2.9941244097008585e-6,7.864107849193506e-4,1,cko-low
PREX2,10.255280071318868,-0.6434939855738708,3.0132428415653865e-6,7.864107849193506e-4,1,cko-high
COL8A1,7.54779358301794,1.6077672276793864,3.0222142658291203e-6,7.864107849193506e-4,1,cko-low
SEPTIN14,1.1035291411367047,-5.811422989354918,3.0381026301393206e-6,7.864107849193506e-4,1,cko-high
SORD,12.897905222781453,0.8165092243850065,3.4073842760905744e-6,8.759990922586053e-4,1,cko-low
TRIM35,9.216397276372469,0.813155875539266,3.7842618583569814e-6,9.663163793988314e-4,1,cko-low
SPNS2,11.171464020305121,-1.328981655833811,3.899753710890519e-6,9.891241090065402e-4,1,cko-high
ACKR3,9.58550682392945,0.7904918781571624,4.047717991295711e-6,0.00101980905551365,1,cko-low
QDPR,10.626745430253095,0.6688603472757233,4.282894085062391e-6,0.0010719147898190589,1,cko-low
GM45828,7.465692591075044,-1.1064200269182436,4.3447133283372396e-6,0.001080232934898164,1,cko-high
PAH,13.191756439225717,0.7890738735931766,4.5493640941907954e-6,0.0011237226656709708,1,cko-low
FST,7.0553017441260675,-1.6206426529081996,4.773362652628786e-6,0.0011713955932996564,1,cko-high
DIO3OS,5.146001189642952,-1.824110751513894,5.025059985300458e-6,0.0012252068836417736,1,cko-high
GALNT3,9.44170033424357,0.7420471063142831,5.158708995402547e-6,0.0012497303227836734,1,cko-low
EDA2R,4.852388512039196,-2.3017639535966783,5.288806686795351e-6,0.0012730865115119104,1,cko-high
UGT1A7C,9.983916360516602,1.5803985450296612,5.764081111127813e-6,0.0013787098313401411,1,cko-low
ARVCF,9.960491247577409,0.7978476297687624,5.869935272193906e-6,0.00139519870318712,1,cko-low
TLN2,12.499705377958795,0.7130053167183874,6.1392641012277264e-6,0.0014448306393046114,1,cko-low
RNF183,8.255035956417515,1.1541068721990992,6.155210968671741e-6,0.0014448306393046114,1,cko-low
CDK18,9.9142967349330835,0.7188524043654425,6.241711202578959e-6,0.001456091047949778,1,cko-low
CXCL16,8.788531729537326,0.6790039947416098,6.6694495110004224e-6,0.0015463302817161225,1,cko-low
CLTRN,12.711266552255001,1.0964730567129966,6.895280195696436e-6,0.0015889416411936567,1,cko-low
CTTNBP2,8.843800007175073,0.9952899676364684,7.1748969890252455e-6,0.0016433558000560125,1,cko-low
SLC43A2,11.868285148488784,0.7055844835135527,7.251507389652463e-6,0.0016508973931912401,1,cko-low
SLC6A12,5.447881310184425,-1.7918168543728363,7.354775595324667e-6,0.0016643813131647293,1,cko-high
GM40055,2.6709261586663575,4.045828129846963,7.487643481352378e-6,0.001684363228852792,1,cko-low
UROC1,10.82370476775727,0.6922492509063591,8.245076368587449e-6,0.0018364253209406098,1,cko-low
CAR5B,10.364022573530015,-0.7439203976127828,8.26080399449364e-6,0.0018364253209406098,1,cko-high
GDF11,8.09570100989134,-1.148075131457797,8.552347241618426e-6,0.0018792015056857203,1,cko-high
MAT2A,11.968735628460308,-0.6712103418658462,8.586691489421936e-6,0.0018792015056857203,1,cko-high
CCDC151,5.093631596712,1.9021615787692525,8.62839029355423e-6,0.0018792015056857203,1,cko-low
HACL1,8.956060938262638,-1.6148882753863578,8.652123782528453e-6,0.0018792015056857203,1,cko-high
VWA2,8.52723410460937,-0.8359808154613617,9.00359641380499e-6,0.001944365232402961,1,cko-high
FMO1,12.073753281973644,1.1673141306378607,9.201747373094732e-6,0.001975866117749978,1,cko-low
PLA2G5,6.958392222820289,1.5769375810037332,9.325589785135238e-6,0.0019875496711898102,1,cko-low
SLC22A18,12.060338247005276,0.703320473339037,9.36134212192491e-6,0.0019875496711898102,1,cko-low
KRT8,9.10761026747717,0.7279036580717015,9.637683824781071e-6,0.0020347896486375768,1,cko-low
HSD3B2,9.408148566830585,2.0590581890494413,9.781641166491912e-6,0.002043481182263642,1,cko-low
FTL1,11.351064193991364,0.6259187484273419,9.78699444299638e-6,0.002043481182263642,1,cko-low
CPB2,5.111193315369487,-2.0626250364771455,1.0062179135418602e-5,0.002089394911460109,1,cko-high
CREB3L3,2.587341936838146,3.9131069566834777,1.0163025472169523e-5,0.0020988035991488015,1,cko-low
PCX,13.440294838244462,0.685356562697077,1.0886072609363994e-5,0.0022218539392052064,1,cko-low
GM13453,8.808266500526813,0.7907082650164163,1.0929138661117371e-5,0.0022218539392052064,1,cko-low
ADD3,11.520524739276084,0.6272322980485274,1.0935246419669993e-5,0.0022218539392052064,1,cko-low
UGT1A8,2.0045337433888455,-5.1447086141013445,1.1280402868775284e-5,0.0022797271936724896,1,cko-high
GM37138,3.4749686267747886,-3.1764707205281573,1.1345723629625404e-5,0.0022807318479298047,1,cko-high
COX6A2,3.0790361492474263,3.72254227947033,1.169651202086635e-5,0.0023388073137173603,1,cko-low
CCNG1,11.699894325846717,-0.8806253105171713,1.1768838420935653e-5,0.002340883903178948,1,cko-high
CPT2,11.075512890973071,0.6800803251810095,1.1939435423277382e-5,0.0023623829503481614,1,cko-low
SLC22A23,11.225237607878128,1.0224239188282276,1.2023416821049696e-5,0.002366609210943282,1,cko-low
GM10787,7.477892412702334,-0.980000871018964,1.2932937320826191e-5,0.0025324433535163907,1,cko-high
DOCK9,11.483184795040764,0.6862720924184256,1.3755363555600732e-5,0.0026796015437797055,1,cko-low
CNTFR,7.167182867399719,1.160391153876124,1.5211662784003752e-5,0.0029343135892112545,1,cko-low
IFFO1,8.738767286880828,0.7799937613606076,1.5218180130329326e-5,0.0029343135892112545,1,cko-low
ARHGAP10,9.600815695909343,0.8213926955883988,1.6232412117634957e-5,0.0031119187728373405,1,cko-low
CREG1,9.996573992374724,0.6010168205757864,1.630397748258344e-5,0.0031119187728373405,1,cko-low
PRCP,9.190484414687567,0.6453879799142843,1.6399217640693892e-5,0.0031143680054125807,1,cko-low
RNF224,-3.1143336433984574,5.718017340584044,1.75268008463809e-5,0.003311864287932135,1,cko-low
HSD3B3,9.762847426325976,-0.7540789825774699,1.8123521346690793e-5,0.0034075826802693453,1,cko-high
BTNL9,7.65294271855078,0.7751931128623841,1.9644370778584732e-5,0.0036752478240805655,1,cko-low
KCNJ16,13.090374892051436,0.6445909746056291,2.117672596704882e-5,0.003942417870673443,1,cko-low
GM47842,4.048523040769772,2.5707394289345564,2.1915610275153864e-5,0.004059974232934386,1,cko-low
FAM184A,8.536952538780662,-0.7487335265290938,2.2042056708542088e-5,0.004063480034776696,1,cko-high
1700007F19RIK,3.5894360700268177,3.113681143019975,2.2157339759782708e-5,0.004064903806804408,1,cko-low
SYDE2,9.369747686308548,0.6666431331493676,2.2955573924021107e-5,0.004191000240273457,1,cko-low
GM5566,7.353454352199381,1.0373017365858175,2.3172528460131877e-5,0.004210270170987037,1,cko-low
PAKAP,11.597812328419307,0.6293756185445147,2.3814009071158757e-5,0.0043061197646757495,1,cko-low
PARK7,11.024749574577807,0.7025264472187605,2.500253183425385e-5,0.004499503252762483,1,cko-low
GM35665,2.6050301853415476,-3.183337006016135,2.516706533373134e-5,0.004507648024134478,1,cko-high
HMOX1,8.546897071157504,0.894822773141275,2.5509605671090957e-5,0.004547448195857875,1,cko-low
GM4450,10.045544308081523,-0.9710917285460354,2.6075029925836e-5,0.0046062153617093425,1,cko-high
DPYSL3,8.153367825613447,-0.7191029059157383,2.612720394985197e-5,0.0046062153617093425,1,cko-high
GM47564,1.7244656247126735,4.253812035683865,2.629895346541504e-5,0.0046062153617093425,1,cko-low
PDZK1IP1,12.137397028910943,0.6155238214384173,2.6326802448381084e-5,0.0046062153617093425,1,cko-low
MDK,9.729150833211762,-0.5542552324665007,2.6457350121182685e-5,0.0046077243123490135,1,cko-high
LOXL4,7.145911248841789,-0.9267594407114519,2.709348236416677e-5,0.004696866447277939,1,cko-high
C2CD2L,10.737858945959918,0.6063866720650335,2.729580570416973e-5,0.004710333740511335,1,cko-low
STAB2,6.4813092910458945,2.1068709477063177,2.7662933108529575e-5,0.004751988945625226,1,cko-low
TBC1D10A,9.652289518149374,0.6376808097575566,2.7901985748814117e-5,0.004759839180712797,1,cko-low
CRB1,3.3670249389055273,2.832012172652132,2.80566692342031e-5,0.004759839180712797,1,cko-low
GM4131,5.325251909741688,1.655748567410538,2.8086476960704742e-5,0.004759839180712797,1,cko-low
KCNAB2,6.066536529105001,1.3912851339540309,2.83052833442693e-5,0.0047755056613688635,1,cko-low
EEF1AKMT3,5.772320910884684,1.717742783367271,2.8522854421674148e-5,0.004790825396906264,1,cko-low
ACOT13,10.526053193708336,-0.5342710261705488,2.9077344217490414e-5,0.004862349525076981,1,cko-high
MSRB1,9.678573945480284,0.9784715291167316,2.9973180018637593e-5,0.004990072331561022,1,cko-low
FABP3-PS1,8.877152468049347,0.8539281178194287,3.0644647728399095e-5,0.005079484767331836,1,cko-low
GM44850,2.083150179516282,4.848068620008884,3.2869628715084124e-5,0.0054150855684345365,1,cko-low
GRHPR,10.90435002102976,0.6867128658974888,3.2955908148283854e-5,0.0054150855684345365,1,cko-low
TMEM8,11.537566976511144,0.5863349953023462,3.317253033280949e-5,0.005421998737299478,1,cko-low
NCAM2,5.850703321446543,-1.200285353864838,3.3284920275547175e-5,0.005421998737299478,1,cko-high
PRDX5,13.243439945369818,0.7316762483644315,3.3589315129627816e-5,0.005448100417935169,1,cko-low
DGLUCY,11.117982536414761,-0.6539699760229905,3.461765357174203e-5,0.005588018314885713,1,cko-high
A2M,4.534941876345289,1.8897694085690193,3.474767950884162e-5,0.005588018314885713,1,cko-low
PMAIP1,7.136546625356741,0.8370744711653142,3.548536872032416e-5,0.005661820473980669,1,cko-low
PLCXD2,8.033244678412787,-0.7462895275588721,3.5506230216273774e-5,0.005661820473980669,1,cko-high
TKT,11.771135825859062,0.685510032210054,3.6036365105373606e-5,0.005700095201005012,1,cko-low
SLC38A4,5.3560674576220215,1.369980127728704,3.605641614590926e-5,0.005700095201005012,1,cko-low
CYP2A5,9.302771878280513,1.2575927835237355,3.6198741750666885e-5,0.005700095201005012,1,cko-low
BEX4,4.150356536896002,2.0492058201154397,3.651127631978124e-5,0.0057254529239716715,1,cko-low
CLTB,10.306951520804724,0.5566348659185447,3.820668031326553e-5,0.0059450140331080105,1,cko-low
NME4,5.911460590914282,1.1116021161553409,3.822603752236575e-5,0.0059450140331080105,1,cko-low
CGNL1,13.553500781996126,0.596921995171197,4.0044078721239574e-5,0.006182876210683449,1,cko-low
NUS1,12.65234453552932,-0.5861794056167202,4.008268076887821e-5,0.006182876210683449,1,cko-high
DLG2,6.3100073882598195,1.519501179006764,4.0349385283641155e-5,0.0061987153196722215,1,cko-low
DTX4,8.867568587463172,-0.8946242134557281,4.1521168608947684e-5,0.0063529068990661975,1,cko-high
GM48558,5.8267821607664425,2.3659735088681,4.2316491562236085e-5,0.006448487294838815,1,cko-low
SYT12,6.493733722657678,1.1307707925574872,4.299523064396833e-5,0.006525605447778519,1,cko-low
CHD3,12.856847509742769,0.8640728940724358,4.4395722527627956e-5,0.006711212583056463,1,cko-low
SPRED2,9.547778141964965,0.5558876470512164,4.547634006449804e-5,0.006847178660229124,1,cko-low
SYTL2,10.148311047892271,-0.6117434786956952,4.702436017905863e-5,0.0070521611900277135,1,cko-high
GM15968,5.512741071480896,-1.7122887998373217,4.7437707482364766e-5,0.007083504490887436,1,cko-high
AI838599,7.03514939353471,-0.8398557384397716,4.777643355342914e-5,0.007083504490887436,1,cko-high
TMEM86B,7.15932974789985,0.8998051306537969,4.7960971456047476e-5,0.007083504490887436,1,cko-low
GM15590,8.668390197032211,0.8756643790819219,4.7983095619897957e-05,0.007083504490887436,1,cko-low
DNAJC12,9.934585123372385,1.1652522737968631,4.8301283233348576e-5,0.007095328147870078,1,cko-low
HALR1,5.891811404822293,1.3657745152363283,4.85575150166798e-5,0.007095328147870078,1,cko-low
FLG2,-3.1143336433984574,5.630495137659356,4.8626428617123996e-5,0.007095328147870078,1,cko-low
FN3K,7.9984985043781265,0.782097155211738,4.944022597489048e-5,0.007186327000165619,1,cko-low
BPNT1,11.530161047814955,0.5856817774088832,4.9932403619883984e-5,0.00723005899464619,1,cko-low
BID,9.415170837779382,0.6055480158977762,5.050518089758632e-5,0.007285083192677795,1,cko-low
KLF15,10.676866961452934,0.8907692932449027,5.112366305072673e-5,0.0073462565551827555,1,cko-low
PXN,11.50834596618299,0.5532377692382688,5.166127738385657e-5,0.0073940048565101935,1,cko-low
ENPP6,10.5933713189936,0.5366084302479752,5.191470130522508e-5,0.0073940048565101935,1,cko-low
SPNS3,7.422504476767047,1.181432775596889,5.204290039774851e-5,0.0073940048565101935,1,cko-low
VNN1,10.21923624258223,0.7944315592354911,5.239035479890044e-5,0.007415491717453353,1,cko-low
AOC1,7.140635318862694,-1.0809263916520244,5.279176557059031e-5,0.007444426882252795,1,cko-high
